"SourceTextTitle","SourceTextCode","LocationKey","LocationTitle","Type","Authority","OtherTexts","Cemetery X","Cemetery Y","Description","activityPercent","activityURL","excerpt","hgt","lab_old","mark","pageOccurences","wid","Display Label","Status","Other Structure","Role","SortName","True X","True Y","Region","AuthOtherTexts"
"""A Bear Hunt""","ABH","1029","Indian Mound in Big Woods","Event","Text (when unambiguous)","","686","175","<p>""Five miles . . . down the river from Major de Spain's camp,"" in a ""wilder part of the river's jungle,"" is the topographical feature Ratliff calls ""an Indian mound"" - ""the only elevation of any kind"" in the ""flat jungle of river bottom"" (65).  Many real earthen mounds, built at different times over almost two thousand years by the aboriginal peoples who once occupied Mississippi, still exist.  The frame narrator calls the mound in this story, where he and a friend once spent a sleepless night, ""profoundly and darkly enigmatic"" (65), and indeed there are still unanswered questions about the origins and purposes of many of the mounds.  Ultimately in this tale the ""dark power"" of this particular mound is used comically, as a great way to cure hiccups - or take revenge (65).</p>","","","","","","","","","Indian Mound","Continuous","Indian Mound","Site of Event","","","","",""
"""A Bear Hunt""","ABH","1031","Negro Church where Picnic Occurs","Church","Context (text, as interpreted)","","1 447","893","<p>The African-American church that is the scene of the picnic where Ash first tangled with Provine is ""a few miles from town"" (64) - though the text doesn't tell us in which direction.</p>","","","","","","","","","Negro Church","Continuous","Church","Site of Event","","","","",""
"""A Bear Hunt""","ABH","1028","Hunting Camp Kitchen","Other Structure","Context (text, as interpreted)","","810","150","<p>In this story, Major de Spain's hunting camp includes a ""kitchen"" that, in the fashion of many of the larger residences in Yoknapatawpha, is in a separate building (71): when Ratliff tries to summon Ash, the black servant who is in charge of the kitchen, he goes ""to the door"" of the camp itself, and yells ""towards the kitchen"" (74).  Like other such kitchens, this one is a racially defined space, the place where the story's black characters can usually be found when they are not serving the white men in the hunting party.</p>","","","","","","","","","Camp Kitchen","Continuous","Hunting Camp; Kitchen","Site of Event","","","","",""
"""A Bear Hunt""","ABH","018","Fishing Camp|Hunting Camp","Other Structure","Faulkner map","""Appendix: Compson"", ""Delta Autumn"", ""Dry September"", ""Lion"", ""The Bear"", ""The Old People"", ""Wash"", Absalom, Absalom!, Go Down, Moses, The Reivers , The Town","779","132","<p>The hunting camp owned by Major de Spain stands in the wilderness of the river bottom ""twenty miles from town"" (63).  Although only occupied about two weeks a year, during the fall hunting season, it seems to be a fairly substantial structure, complete with a separate kitchen in the fashion of larger southern houses.</p>","","","","","","","","","Hunting Camp","Continuous","Hunting Camp","Site of Event","","","","",""
"""A Bear Hunt""","ABH","054","Jefferson Courthouse and Square","Public building","Faulkner map","""A Point of Law"", ""A Rose for Emily"", ""Appendix: Compson"", ""Centaur in Brass"", ""Death Drag"", ""Dry September"", ""Elly"", ""Fool About a Horse"", ""Go Down, Moses"", ""Gold Is Not Always"", ""Hair"", ""Lion"", ""Monk"", ""Mule in the Yard"", ""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek"", ""Pantaloon in Black"", ""Race at Morning"", ""Raid"", ""Retreat"", ""Shall Not Perish"", ""Shingles for the Lord"", ""Skirmish at Sartoris"", ""Smoke"", ""Spotted Horses"", ""That Evening Sun"", ""The Old People"", ""The Tall Men"", ""The Unvanquished"", ""There Was a Queen"", ""Tomorrow"", ""Two Soldiers"", ""Uncle Willy"", ""Vendee"", Absalom, Absalom!, As I Lay Dying, Flags in the Dust, Go Down, Moses, Intruder in the Dust, Light in August, Requiem for a Nun, Sanctuary, The Hamlet, The Mansion, The Reivers , The Sound and the Fury, The Town, The Unvanquished","1 290","819","<p>Courthouse Square sits at the center of both the town of Jefferson and the county of Yoknapatawpha, and appears in most of Faulkner's Yoknapatawpha fictions in various ways.  In ""A Bear Hunt"" it is explicitly mentioned as the site where the Provine gang likes to shoot off pistols ""late on Saturday nights"" (64).  In Digital Yoknapatawpha we also use the Square as a default location for (1) scenes that take place in undefined parts of Jefferson, as when Ratliff meets a few ""fellows"" when he ""gets back to town"" from the woods (66), and (2) the scene of story-telling when a text does not locate a first-person narrator anywhere in particular - so in this case, the Square is where both the unnamed frame narrator and Ratliff tell the story.</p>","","","","","","","","","Courthouse Square","Continuous","Courthouse and Square; Jefferson Event","Site of Event","","","","",""
"The Hamlet","H","109","New York City, New York","OutOfYoknapatawpha","Text (when unambiguous)","""Ad Astra"", ""Appendix: Compson"", ""Lizards in Jamshyd’s Courtyard"", Flags in the Dust, Requiem for a Nun, Sanctuary, The Mansion, The Sound and the Fury, The Town","2 544","848","<p>When describing the graveyard at the Old Frenchman's place, the narrator refers to the slaves buried there as ""the progenitors of saxophone players in Harlem honkytonks"" (375).  This reference re-frames the narrative in both time and space, relocating it briefly from Yoknapatawpha in the present (the 1890s) and the past (the antebellum era of slavery) to the New York City of the 1920s, by which time large numbers of southern blacks had moved to the urban North and when jazz was in vogue among both white and black audiences.</p>","","","","","","","","","Harlem","Continuous","City; Negro District; Bar","Only Mentioned in Text","","","","",""
"The Hamlet","H","039","Jefferson Railroad Station","Office/store","Text (when unambiguous)","""Go Down, Moses"", ""Hair"", ""Knight's Gambit"", ""Mule in the Yard"", ""The Tall Men"", ""There Was a Queen"", ""Uncle Willy"", As I Lay Dying, Flags in the Dust, Go Down, Moses, Intruder in the Dust, Light in August, Requiem for a Nun, Sanctuary, The Mansion, The Reivers , The Sound and the Fury, The Town, The Unvanquished","1 136","800","<p>The railroad station appears frequently in the Yoknapatawpha fictions, as the main portal linking Jefferson to the larger world.  In <em>The Hamlet</em> in only appears once, obliquely, as the site through which the traveling salesman who has been courting Eula Varner flees after being attacked by the local young men who are competing for her attention.</p>","","","","","","","","","Railroad Station","Continuous","Railroad Station","Site of Event","","","","",""
"The Town","T","1274","Kansas City, Missouri","OutOfYoknapatawpha","Text (when unambiguous)","""The Unvanquished"", ""Two Soldiers"", Absalom, Absalom!, Requiem for a Nun, The Unvanquished","2 324","918","<p>It is from Kansas City (the city in Missouri) that Wall Snopes' butcher orders ""special meat"" for Mrs. Widrington's Pekingese (380).   (From 1871 till the great flood in 1951, Kansas City was well known for its stockyards, and thus for its beef, in particular the Kansas City strip steak.)</p>","","","","","","","","","Kansas City, Missouri","Continuous","City","Only Mentioned in Text","","","","",""
"The Town","T","1024","Coca Cola Bottling Plant","YoknapatawphaInset","Context (text, as interpreted)","","1 636","712","<p>Coca Cola opened bottling plants throughout the state of Mississippi beginning in 1906.  The plant appears to be on the outskirts of town where Byron Snopes's children are found, the little one with syrup spilled down the front of its nightshirt (379).</p>","","","","","","","","","Coca Cola Bottling Plant","Continuous","Manufacturing Facility","Site of Event","","1220","880","",""
"The Town","T","1023","Saratoga, New York","OutOfYoknapatawpha","Text (when unambiguous)","The Mansion","2 526","821","<p>The American victory over the British in the Battle of Saratoga (1777) was a decisive victory for the colonies in the Revolutionary War.  According to Eula, Ratliff's ""six or eight or ten times grandfather"" was an ensign in the British army that surrendered there (338).</p>","","","","","","","","","Saratoga, New York","Continuous","Combat Zone","Site of Event","","","","",""
"The Town","T","231","Carolina","OutOfYoknapatawpha","Text (when unambiguous)","""A Name for the City"", ""Appendix: Compson"", ""Hand Upon the Waters"", ""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek"", ""Skirmish at Sartoris"", ""The Unvanquished"", Absalom, Absalom!, Requiem for a Nun, The Reivers , The Unvanquished","2 470","969","<p>Carolina is a generic term that Gavin Stevens uses to talk about the migration of the settlers to Yoknapatawpha from Scotland, settling first in Carolina:  the ""hill-country of McCallum and Gowrie and Frazier and Muir"" that translated intact ""from Culloden to Carolina, then from Carolina to Yoknapatawpha"" (332).</p>","","","","","","","","","Carolina","Continuous","State","Only Mentioned in Text","","","","",""
"The Town","T","636","Scotland","OutOfYoknapatawpha","Text (when unambiguous)","""Appendix: Compson"", Intruder in the Dust","2 465","1 265","<p>Much of the white population of Yoknapatawpha is of Scottish descent, particularly the ""hill-country of McCallum and Gowrie and Frazier and Muir"" that translated intact ""from Culloden to Carolina, then from Carolina to Yoknapatawpha"" (332). Gavin Steven's description here implies that these settlers were attracted to Yoknapatawpha by the similarity between its hill country and their original homeland.</p>","","","","","","","","","Colloden, Scotland","Continuous","Foreign Country","Only Mentioned in Text","","","","",""
"The Town","T","1022","Ridge where Gavin Stevens Sees All Yoknapatawpha","Event","Speculation","","1 013","537","<p>""Beyond Seminary Hill,"" the ""mild unhurried farm road"" that Gavin Stevens is driving along  ""mounts to cross the ridge and to join the main highway leading from Jefferson to the world"" (330).  Pausing atop this ridge, Gavin takes a long, reflective look at ""all Yoknapatawpha"" spread out beneath him (330).</p>","","","","","","","","","Ridge","Continuous","Hill|Ridge","Site of Event","","","","",""
